time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
34.315,123.76689773445,-36.5826970097918,16.5563399460304,-79.3865290227571,30.4972459956469,-5.71357204764836,112.138500930339,-27.0502360139951,-42.2587348924978,-58.1477002784426,2.96614810336963,69.9049334401797
34.32,121.581619256617,-32.7335824088956,21.4309734272934,-75.5806033891056,28.9251477350697,-11.0426026935003,108.279335778839,-25.5785291856222,-41.1873210568917,-54.6507576623201,2.0976545180148,66.0676753715297
34.325,119.266299659057,-28.9407992196261,26.1513445145857,-71.8253762257391,27.3891505703195,-16.1415257858497,104.32250433982,-24.1014409944514,-40.1469112199363,-51.2483823790151,1.25701586029912,62.36399039872
34.33,116.795335960919,-25.2381210794655,30.6616855463911,-68.1333740517999,25.8965159333981,-20.9592050242399,100.265763473034,-22.6300688095731,-39.1384754356479,-47.9530393629904,0.439177026885626,58.8105090113314
34.335,114.145834116944,-21.6571642794634,34.9092098195543,-64.5158686452462,24.4536024970034,-25.4489206403599,96.1091344156507,-21.1752677057535,-38.1613992427501,-44.7758788054866,-0.359866332355168,55.4205265889227
34.34,111.298119091718,-18.2269297563015,38.8450002909639,-60.9827725820033,23.0657260171355,-29.5691166882927,91.8549273512424,-19.7474602328285,-37.2135935560507,-41.726605636146,-1.14295348798633,52.2038236476992
34.345,108.236138467773,-14.9733977654906,42.4248129495254,-57.5425476456527,21.7370398813133,-33.2840263317881,87.5076846096356,-18.3564565667324,-36.2916385799834,-38.8133649211384,-1.91168565069128,49.1665500733792
34.35,104.947750557433,-11.9191833304717,45.6097772829777,-54.2021290856157,20.4704413380339,-36.5641620558916,83.0740467305484,-17.01128875295,-35.3909551897316,-36.0426462311197,-2.66639570423326,46.3111798791843
34.355,101.424892451583,-9.08325905629649,48.3669791110352,-50.9668683825355,19.2675078062275,-39.3866619090204,78.5625487226227,-15.7200624037084,-34.5059967943574,-33.4192097095406,-3.40616078440995,43.6365418579408
34.36,97.6636280101583,-6.4807502342982,50.669914383913,-47.840496762927,18.1284668459334,-41.7354872419904,73.9833565292363,-14.489828784193,-33.6304546516977,-30.9460361225942,-4.12885662214155,41.137929811595
