time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
35.465,0.00025706890400229,-0,-0,5.53862700211053e-06,-0,-0,9.29256227706744e-05,0,0,-1.62172594609522e-05,-0,0
35.47,0.000299901490628733,-0,-0,2.03308848475864e-06,-0,-0,8.35219959778393e-05,0,0,-2.97577273354482e-05,-0,0
35.475,0.000329433501622113,-0,-0,-8.48864014339759e-08,-0,-0,7.79631024253357e-05,0,0,-3.67501820940921e-05,-0,0
35.48,0.000286733569966816,-0,-0,1.37008687466269e-06,-0,-0,9.5656543403973e-05,0,0,-1.30564413162082e-05,-0,0
35.485,0.000243041610024839,-0,-0,2.25403450497915e-06,-0,-0,0.000111157576472674,0,0,8.64973032116811e-06,-0,0
35.49,0.000198584191353329,-0,-0,2.68105444243614e-06,-0,-0,0.000124127154202146,0,0,2.81889196349134e-05,-0,0
35.495,0.000197623074159606,-0,-0,2.4080857683204e-06,-0,-0,0.000134296350612871,0,0,3.44400379467501e-05,-0,0
35.5,0.000230777321644826,-0,-0,1.81921202736936e-06,-0,-0,0.000141495808489481,0,0,3.10102219133336e-05,-0,0
35.505,0.000260153000429073,-0,-0,1.31691893937578e-06,-0,-0,0.000145663190057151,0,0,2.76603423466967e-05,-0,0
35.51,0.00028524496046737,-0,-0,9.1557214472266e-07,-0,-0,0.000146846102596001,0,0,2.44170598762654e-05,-0,0
35.515,0.000260617285338147,-0,-0,3.73266603512951e-07,-0,-0,0.000124396928826381,0,0,1.76856854897283e-05,-0,0
35.52,0.000231852821329675,-0,-0,-2.46010799365642e-08,-0,-0,0.000100511499128515,0,0,1.14358745208896e-05,-0,0
35.525,0.000202460966563297,-0,-0,-3.56913195384347e-07,-0,-0,7.72144835786981e-05,0,0,5.92766990135009e-06,-0,0
35.53,0.000193897306947737,-0,-0,-6.58443541586382e-07,-0,-0,6.32110295116497e-05,0,0,3.68309218874333e-06,-0,0
35.535,0.00022175964479373,-0,-0,-9.3300779952705e-07,-0,-0,6.41821543142704e-05,0,0,6.2098110776068e-06,-0,0
35.54,0.000242570115346559,-0,-0,-1.35851495712674e-06,-0,-0,6.32915126160283e-05,0,0,8.14825765649825e-06,-0,0
35.545,0.00025643718469623,-0,-0,-1.97743309071294e-06,-0,-0,6.08833017245795e-05,0,0,9.55028319354571e-06,-0,0
35.55,0.000252578409012026,-0,-0,-2.82571687915548e-06,-0,-0,4.58059815842182e-05,0,0,7.62202572028835e-06,-0,0
35.555,0.000240523529977202,-0,-0,-3.92866443067651e-06,-0,-0,2.88461944104035e-05,0,0,4.93398381331944e-06,-0,0
35.56,0.000225466133894721,-0,-0,-5.29740385202436e-06,-0,-0,1.5165604072326e-05,0,0,2.70926174357996e-06,-0,0
35.565,0.000205979099554814,-0,-0,-6.84326848421567e-06,-0,-0,5.34296814518841e-06,0,0,1.31323809954724e-06,-0,0
35.57,0.000171964692967224,-0,-0,-7.86441982439554e-06,-0,-0,2.06600740230011e-06,0,0,2.72262491853681e-06,-0,0
35.575,0.000140559010981654,-0,-0,-8.83821994621957e-06,-0,-0,-4.31438456033838e-08,0,0,3.60975653682275e-06,-0,0
35.58,0.000112036866253191,-0,-0,-9.69744033741099e-06,-0,-0,-1.13676871040297e-06,0,0,4.02810506182143e-06,-0,0
35.585,8.22566032669547e-05,-0,-0,-1.15490227155168e-05,-0,-0,-1.40533134505811e-06,0,0,3.27777137266139e-06,-0,0
35.59,5.39046403956139e-05,-0,-0,-1.46935357983234e-05,-0,-0,-1.05902675306896e-06,0,0,1.96291885516412e-06,-0,0
35.595,3.19997265584037e-05,-0,-0,-1.79636187991984e-05,-0,-0,-3.10446741483911e-07,0,0,1.01440414223841e-06,-0,0
35.6,1.61502631187057e-05,-0,-0,-2.12566912600527e-05,-0,-0,6.40222185955508e-07,0,0,3.9663449408662e-07,-0,0
35.605,7.48558528040042e-06,-0,-0,-2.44940101854642e-05,-0,-0,1.61647364801991e-06,0,0,1.28818823010708e-07,-0,0
35.61,1.52462267914967e-06,-0,-0,-2.75573008633548e-05,-0,-0,2.47272082889205e-06,0,0,-6.32867268816559e-08,-0,0
35.615,-2.66061539654528e-06,-0,-0,-3.03491844332541e-05,-0,-0,3.09748498378061e-06,0,0,-2.17066586444133e-07,-0,0
35.62,-5.92391741554243e-06,-0,-0,-3.23574473829339e-05,-0,-0,3.15619514516068e-06,0,0,-3.37582875287689e-07,-0,0
35.625,-1.14775429867799e-05,-0,0,-3.23635504112262e-05,-0,-0,1.73625250361424e-06,0,0,-4.29537716708407e-07,-0,0
35.63,-1.8703751414107e-05,-0,0,-3.18122239036772e-05,-0,-0,-4.09944651466449e-07,0,0,-4.96998485418501e-07,-0,0
35.635,-2.77406077237636e-05,-0,0,-3.07278804101836e-05,-0,-0,-3.25886085086536e-06,0,0,-5.43224749290869e-07,-0,0
35.64,-3.27998778227722e-05,-0,0,-2.25939541960194e-05,-0,-0,-6.78186774088017e-06,0,0,-5.70614073914241e-07,-0,-0
35.645,-3.38673594310494e-05,-0,0,-9.87647351877654e-06,-0,-0,-1.09657231452735e-05,0,0,-5.80771201548462e-07,-0,-0
35.65,-3.42353083055654e-05,-0,0,3.0941326270469e-06,-0,-0,-1.58088214332251e-05,0,0,-5.74690943378434e-07,-0,-0
35.655,-3.40486467917371e-05,-0,0,1.59745554814336e-05,-0,-0,-2.13148009239496e-05,0,0,-5.53031443215745e-07,-0,-0
35.66,-4.09402296524913e-05,-0,0,1.19133980750314e-05,-0,-0,-2.50356478811119e-05,0,0,-5.16443199411708e-07,-0,-0
35.665,-4.88193334889973e-05,-0,0,7.69577204941196e-06,-0,-0,-2.90476363113272e-05,0,0,-4.65911893977571e-07,-0,-0
35.67,-5.75384111180255e-05,-0,0,3.56074753005525e-06,-0,-0,-3.33480672960752e-05,0,0,-4.03070588447315e-07,-0,-0
35.675,-7.58105845874952e-05,-0,0,2.35215473456325e-06,-0,-0,-3.56497171829005e-05,0,-0,-3.30439428482643e-07,-0,-0
35.68,-0.000111892982505301,-0,0,5.52570133124691e-06,-0,-0,-3.37233353345753e-05,0,-0,-2.51558248613613e-07,-0,-0
35.685,-0.000151543581594589,-0,0,8.06368118529214e-06,-0,-0,-3.09620457502102e-05,0,-0,-1.70988510686861e-07,-0,-0
35.69,-0.000194398763352055,-0,0,9.89836991291982e-06,-0,-0,-2.7198060117798e-05,0,-0,-9.41746764580632e-08,-0,-0
35.695,-0.000219215477332861,-0,0,9.13754455582458e-06,-0,-0,-3.33047480125195e-05,0,-0,-4.08568216350926e-08,-0,-0
35.7,-0.000234050319013451,-0,0,7.32300167846125e-06,-0,-0,-4.50169372791253e-05,0,-0,6.0419807015337e-08,-0,-0
35.705,-0.00024758596090831,-0,0,5.49827657652788e-06,-0,-0,-5.7519946386315e-05,0,-0,2.29466199296924e-07,-0,-0
35.71,-0.000256921388123485,-0,0,3.7113119859737e-06,-0,-0,-6.971472884789e-05,0,-0,4.50839460772013e-07,-0,-0
35.715,-0.000229445970495629,0,0,1.58626138212546e-06,-0,-0,-6.78427711816082e-05,0,-0,4.29680309541006e-07,-0,-0
35.72,-0.000196957457934257,0,0,2.14899035137385e-07,-0,0,-6.47604968136263e-05,0,-0,2.81324375544568e-07,-0,-0
35.725,-0.000159537469029765,0,0,-2.73903229741746e-07,-0,0,-6.04018528050509e-05,-0,-0,1.96214848615095e-09,-0,-0
35.73,-0.000139992011412235,0,0,8.90580162637367e-08,-0,0,-5.75600418640215e-05,-0,-0,-1.23698213650427e-07,-0,-0
35.735,-0.000144036354797801,0,0,-3.70353112822308e-07,-0,0,-5.7110291529417e-05,-0,-0,1.01006627663639e-07,-0,-0
35.74,-0.000146102102517032,0,0,-2.10614054575417e-06,-0,0,-5.59351725306091e-05,-0,-0,4.04788404701041e-07,-0,-0
35.745,-0.000146285079143192,0,0,-5.09635737711363e-06,-0,0,-5.4073860554279e-05,-0,-0,7.95411993381125e-07,-0,-0
35.75,-0.000137283859607956,0,0,-5.84702674896079e-06,-0,0,-3.95283456987726e-05,-0,-0,-1.51254070194682e-08,-0,-0
35.755,-0.000125493841348333,0,0,-5.49328641242467e-06,-0,0,-2.16634522550495e-05,-0,-0,-1.20781500213974e-06,-0,-0
